#rollouts	randomMCTSdev	rulebaseddev	mctsMedian	rulebasedMedian
50	18.494982233462455	22.905628480614848	399.26666666666665	507.23333333333335
100	24.208861301540836	20.35458659374586	429	496.96666666666664
150	19.27600497551533	21.775262776038257	425.43333333333334	498.9
200	21.536630116654955	23.975106822002626	451.96666666666664	481.76666666666665
250	23.89286432216199	28.08175666640647	452.4	479.6333333333333
300	18.21127603197106	18.256285329249994	464.73333333333335	473.53333333333336
350	20.996551440981758	15.431569373635766	457.8	483.06666666666666
400	19.925291500485265	21.080606111376124	465.5	473.76666666666665
450	23.88403496976132	26.307662447436794	477.03333333333336	470.9
500	24.12679628236154	22.437550627484264	477.03333333333336	475.06666666666666
550	24.333034166008517	24.72180851175646	471.2	468.73333333333335
600	15.30772474215581	23.530586600149316	477.46666666666664	474.3666666666667
650	26.452820721766727	24.340236778568556	480.8	471.03333333333336
700	18.190435784306775	20.215534029353616	483.93333333333334	468.23333333333335
750	26.453515943010796	25.814123373015036	477.93333333333334	472.9
800	24.020585041732986	26.354981644297617	479.3333333333333	468.03333333333336
850	21.939729354254375	21.724211822534432	485.6	457.7
900	23.378076968788957	20.61458026592416	478.5	470.73333333333335
950	21.90470479038745	24.25650759939568	484.6666666666667	465.03333333333336
1000	21.74377966276766	21.04688253323556	477.6333333333333	471.1666666666667
