#rollouts	randomMCTSdev	rulebaseddev	mctsMedian	rulebasedMedian
50	24.119934999245253	21.09376984886252	384.23333333333335	484.46666666666664
100	19.316599972116176	13.588746188979533	418.2	456.96666666666664
150	22.163473108470274	23.226248528112652	441.56666666666666	440.7
200	22.41140924546728	23.052164732418834	444.93333333333334	443.3333333333333
250	23.102694274881028	21.60736358095407	456.7	438.8666666666667
300	24.017713769479467	22.135008938097474	456.6666666666667	442.2
350	19.95915369177646	21.142755070094886	466.3333333333333	427.46666666666664
400	21.712753813390865	19.14256855895997	463.06666666666666	431.9
450	19.88345352643577	25.004114603929427	468.4	428.6333333333333
500	20.891729651134487	20.56838886956524	466.8666666666667	435.9
550	25.554449418006865	22.530592229386617	474.73333333333335	434.6
600	24.206012362278067	22.54803302071931	463	437
650	23.718294020952854	25.720960637035972	474.1666666666667	426.1333333333333
700	25.851943611762483	20.66703744569137	486.76666666666665	421.3333333333333
750	19.114326335614546	22.378561169118985	472.43333333333334	429.6
800	18.370046834171525	17.380428945938807	478.7	422.3
850	26.69558058908826	23.774708864867208	478.3666666666667	427.93333333333334
900	19.37889004330085	17.6192162597885	475.9	424.6666666666667
950	25.302787089227124	20.76092704948464	477.9	428.53333333333336
